ID	Área o tema	Ítem a auditar	Criterio de cumplimiento	Evidencia o respaldo esperado	Frecuencia de revisión	Estado de cumplimiento	Observaciones	Fuente / sección del documento	Referencia normativa	Etapa	Responsable sugerido
PMA-084	Medidas ambientales §7.5 — Buenas prácticas y relaciones comunitarias	Respeto estricto a jornadas laborales diurnas	Actividades restringidas a jornadas diurnas para evitar perturbaciones sonoras a caseríos aledaños	Bitácora de faena; inspección de cumplimiento horario	Semanal		—	§7.5 Plan de buenas prácticas y relaciones comunitarias	§5.2 Horarios de trabajo	Operación	Ingeniero residente
PMA-085	Medidas ambientales §7.5 — Buenas prácticas y relaciones comunitarias	Libro de Sugerencias y Consultas en oficina de faena	Libro de Sugerencias y Consultas foliado y autocopiativo permanente en oficina de faena	Libro físico disponible; foliación íntegra; respuestas registradas	Continuo		—	§7.5 Plan de buenas prácticas y relaciones comunitarias	No especificado en el PMA	Operación	Encargado ambiental / Ingeniero residente
PMA-086	Monitoreo ambiental §8 — Aire	Inspección diaria del estado y control de emisiones de flota y grupo generador	Inspección diaria del estado y control de emisiones de la flota vehicular y grupo generador	Bitácoras de inspección diaria; registro del Encargado Ambiental	Diario		—	§8 Seguimiento ambiental (Monitoreo) — Componente Aire	No especificado en el PMA	Operación	Encargado ambiental
PMA-087	Monitoreo ambiental §8 — Aire	Control técnico trimestral de emisiones de flota y grupo generador	Control técnico trimestral con certificados de revisión técnica al día y bitácoras de mantención	Certificados de revisión técnica; bitácoras de mantención de motores APIA SpA	Trimestral		—	§8 Seguimiento ambiental (Monitoreo) — Componente Aire	No especificado en el PMA	Operación	Encargado ambiental
PMA-088	Monitoreo ambiental §8 — Agua	Monitoreo microbiológico de agua de consumo humano (mensual/semestral)	Calidad microbiológica de red de agua de consumo humano verificada con frecuencia mensual/semestral	Informes microbiológicos HIDROlab Coyhaique	Mensual / Semestral		Requiere revisión: alternancia mensual/semestral no detalla criterio de aplicación	§8 Seguimiento ambiental (Monitoreo) — Componente Agua	No especificado en el PMA	Operación	Encargado ambiental
PMA-089	Monitoreo ambiental §8 — Suelo y residuos	Inspección diaria de operación sanitaria e impermeabilización de taller y RESPEL	Operación sanitaria e impermeabilización del taller y RESPEL verificadas diariamente	Lista de Chequeo Mensual (Anexo N° 8); registro diario de inspección	Diario		—	§8 Seguimiento ambiental (Monitoreo) — Componente Suelo y Residuos	No especificado en el PMA	Operación	Encargado ambiental
PMA-090	Monitoreo ambiental §8 — Suelo y residuos	Registro mensual mediante Lista de Chequeo Mensual (Anexo N° 8)	Lista de Chequeo Mensual para Control y Fiscalización Ambiental del PMA completada y archivada	Anexo N° 8 firmado y foliado	Mensual		—	§8 Seguimiento ambiental (Monitoreo) — Componente Suelo y Residuos; §10 Anexo N° 8	No especificado en el PMA	Operación	Encargado ambiental
PMA-091	Monitoreo ambiental §8 — Suelo y residuos	Guías de despacho de retiro de RESPEL	Guías de despacho de retiro de RESPEL disponibles y archivadas	Guías de despacho originales o copias	Trimestral		—	§8 Seguimiento ambiental (Monitoreo) — Componente Suelo y Residuos	No especificado en el PMA	Operación	Encargado ambiental
PMA-092	Monitoreo ambiental §8 — Suelo y residuos	Certificados de lodos de Patagonia Service	Certificados de lodos de Patagonia Service E.I.R.L. disponibles y archivados	Certificados de servicio y disposición de lodos	Semanal		—	§8 Seguimiento ambiental (Monitoreo) — Componente Suelo y Residuos	Res. N° 548	Operación	Encargado ambiental
PMA-093	Monitoreo ambiental §8 — Comunidad	Registro continuo de consultas, quejas o felicitaciones vecinales	Libro de Sugerencias y Consultas debidamente respondido y visado por la Inspección Fiscal	Libro foliado con respuestas; visado del IF	Continuo		—	§8 Seguimiento ambiental (Monitoreo) — Componente Comunidad	No especificado en el PMA	Operación	Encargado ambiental / Ingeniero residente
PMA-094	Abandono y restauración §9 — Desmantelamiento	Desarme completo de construcciones prefabricadas modulares	Desarme completo de todas las construcciones prefabricadas modulares al término de la faena	Acta de desmantelamiento; registro fotográfico; retiro de materiales	Al cierre		—	§9 Etapa de abandono y restauración — ítem 1	No especificado en el PMA	Abandono	Ingeniero residente
PMA-095	Abandono y restauración §9 — Desmantelamiento	Retiro total de galpones de taller y cercos perimetrales	Retiro total de galpones de taller y cercos perimetrales	Acta de desmantelamiento; registro fotográfico	Al cierre		—	§9 Etapa de abandono y restauración — ítem 1	No especificado en el PMA	Abandono	Ingeniero residente
PMA-096	Abandono y restauración §9 — Desmantelamiento	Retiro total de chapas, techumbres y maderas	Retiro total de chapas, techumbres y maderas del predio	Acta de desmantelamiento; registro fotográfico; guías de disposición	Al cierre		—	§9 Etapa de abandono y restauración — ítem 1	No especificado en el PMA	Abandono	Ingeniero residente
PMA-097	Abandono y restauración §9 — Demolición de radieres	Demolición completa de radieres de hormigón	Demolición completa de radieres de hormigón vertidos como base de módulos	Esbombos cargados en camiones autorizados; guías de transporte	Al cierre		—	§9 Etapa de abandono y restauración — ítem 2	No especificado en el PMA	Abandono	Ingeniero residente
PMA-098	Abandono y restauración §9 — Demolición de radieres	Disposición de escombros de radieres en botaderos calificados por IF	Escombros de radieres dispuestos en botaderos calificados por la Inspección Fiscal	Autorización del IF; guías de transporte; comprobantes de recepción	Al cierre		Requiere revisión: botaderos destino no identificados nominalmente	§9 Etapa de abandono y restauración — ítem 2	No especificado en el PMA	Abandono	Encargado ambiental
PMA-099	Abandono y restauración §9 — Remoción de suelos contaminados	Inspección visual y muestreo del suelo al abandono	Inspección visual y muestreo del suelo ejecutados en etapa de abandono	Informe de inspección; resultados de muestreo si corresponde	Al cierre		—	§9 Etapa de abandono y restauración — ítem 3	No especificado en el PMA	Abandono	Encargado ambiental
PMA-100	Abandono y restauración §9 — Remoción de suelos contaminados	Remoción de capa afectada por hidrocarburos en zonas de taller o combustible	En caso de detectarse manchas de hidrocarburos o suelos impregnados, remoción total de la capa afectada	Informe de remoción; guías RESPEL; registro fotográfico	Al cierre (si aplica)		—	§9 Etapa de abandono y restauración — ítem 3	D.S. N° 148/03	Abandono	Encargado ambiental
PMA-101	Abandono y restauración §9 — Remoción de suelos contaminados	Gestión de suelos contaminados como RESPEL bajo D.S. N° 148/03	Suelos removidos gestionados estrictamente como Residuo Peligroso (RESPEL) bajo D.S. N° 148/03	Guías de despacho RESPEL; certificados de disposición en destinatario autorizado	Al cierre (si aplica)		—	§9 Etapa de abandono y restauración — ítem 3	D.S. N° 148/03	Abandono	Encargado ambiental
PMA-102	Abandono y restauración §9 — Escarificación	Escarificación profunda de área compactada por tránsito y acopios	Escarificación profunda de toda el área compactada por tránsito de camiones, vehículos pesados y acopios	Registro de actividades; registro fotográfico antes/después	Al cierre		—	§9 Etapa de abandono y restauración — ítem 4	No especificado en el PMA	Abandono	Encargado ambiental
PMA-103	Abandono y restauración §9 — Restitución vegetal	Esparcido homogéneo del material de escarpe acopiado originalmente	Material de escarpe acopiado originalmente esparcido homogéneamente sobre el predio	Registro de actividades; registro fotográfico	Al cierre		—	§9 Etapa de abandono y restauración — ítem 5	No especificado en el PMA	Abandono	Encargado ambiental
PMA-104	Abandono y restauración §9 — Restitución vegetal	Siembra de gramíneas locales para recolonización biológica	Siembra de gramíneas locales para acelerar recolonización biológica y evitar erosión	Registro de actividades; registro fotográfico; especificación de especies si disponible	Al cierre		Requiere revisión: especies de gramíneas locales no detalladas en el PMA	§9 Etapa de abandono y restauración — ítem 5	No especificado en el PMA	Abandono	Encargado ambiental
PMA-105	Abandono y restauración §9 — Acta de conformidad final	Gestión de término formal del arriendo con propietaria del terreno	Término formal del arriendo gestionado con Sra. Lucía Guillermina Zúñiga Guerrero	Comunicaciones con propietaria; registro de arriendo	Al cierre		—	§9 Etapa de abandono y restauración — ítem 6	No especificado en el PMA	Abandono	Administrador de obra
PMA-106	Abandono y restauración §9 — Acta de conformidad final	Firma de Acta de Recepción Conforme y Entrega del Inmueble	Acta firmada que declare satisfacción de condiciones ambientales de restitución	Acta de Recepción Conforme y Entrega del Inmueble firmada por propietaria	Al cierre		—	§9 Etapa de abandono y restauración — ítem 6	No especificado en el PMA	Abandono	Ingeniero residente
PMA-107	Abandono y restauración §9 — Acta de conformidad final	Remisión del Acta de Conformidad Final a la Inspección Fiscal de Vialidad MOP	Acta remitida como requisito de cierre a la Inspección Fiscal de Vialidad MOP	Comprobante de envío o recepción por IF	Al cierre		—	§9 Etapa de abandono y restauración — ítem 6	No especificado en el PMA	Abandono	Ingeniero residente
PMA-108	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 1 (Resolución MOP N° 24, 13.05.2026)	Copia de Resolución MOP N° 24 de fecha 13.05.2026 (Tramitación Contrato) archivada y disponible	Copia del Anexo N° 1	Al inicio de operación		—	§10 Anexos — Anexo N° 1	No especificado en el PMA	Operación	Administrador de obra
PMA-109	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 2 (Dominio, arrendamiento y DOM)	Inscripción de Dominio Vigente, Contrato de Arrendamiento y Declaración de Obras Auxiliares ante DOM de Cisnes archivados	Copia del Anexo N° 2	Al inicio de operación		—	§10 Anexos — Anexo N° 2	No especificado en el PMA	Operación	Administrador de obra
PMA-110	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 3 (Plano de ubicación y planta)	Plano de Ubicación General de la Faena y Planta de Distribución con firma de la propietaria archivado	Copia del Anexo N° 3	Al inicio de operación		—	§10 Anexos — Anexo N° 3	No especificado en el PMA	Operación	Topógrafo / Encargado ambiental
PMA-111	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 4 (Resoluciones Seremi y SEC)	Copias de Resoluciones Sanitarias Seremi de Salud Aysén (N° 185, 548, 165, 2111426562, 2411534157) y Declaraciones SEC (TE1 y TC10A) archivadas	Copia del Anexo N° 4	Semestral		—	§10 Anexos — Anexo N° 4	No especificado en el PMA	Operación	Encargado ambiental
PMA-112	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 5 (Muestreos agua potable e informes Patagonia Service)	Registros de toma de muestras de agua potable HIDROlab e informes de Patagonia Service archivados	Copia del Anexo N° 5	Mensual		—	§10 Anexos — Anexo N° 5	No especificado en el PMA	Operación	Encargado ambiental
PMA-113	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 6 (Informe arqueológico)	Informe de Inspección Visual Arqueológica (Javier Carranza Elola, Mayo 2026) archivado	Copia del Anexo N° 6	Al inicio de operación		—	§10 Anexos — Anexo N° 6	No especificado en el PMA	Operación	Encargado ambiental
PMA-114	Anexos §10 — Documentación complementaria	Disponibilidad del Anexo N° 7 (Pronunciamiento SERNATUR Aysén)	Copia de Pronunciamiento de Conformidad de la Dirección Regional de Turismo (SERNATUR Aysén) archivada	Copia del Anexo N° 7	Al inicio de operación		—	§10 Anexos — Anexo N° 7	No especificado en el PMA	Operación	Encargado ambiental
PMA-115	Anexos §10 — Documentación complementaria	Disponibilidad y uso del Anexo N° 8 (Lista de Chequeo Mensual)	Lista de Chequeo Mensual para Control y Fiscalización Ambiental del PMA disponible, completada y archivada	Copia del Anexo N° 8; registros mensuales completados	Mensual		—	§10 Anexos — Anexo N° 8; §8 Seguimiento ambiental	No especificado en el PMA	Operación	Encargado ambiental
